topic,registrant,times_registered,min_registration_time,average_registration_time,min_discovery_time,average_discovery_time
t5,102673083757101807698798450030918740588670972858272766754059390093004649311515,239,201,56416,14392,132710
t5,21008392144700245699084539948524927226197997792204882606104732840790691640390,77,201,65035,25105,192545
t5,86440148906773053470144977991167733242240735711709608336546314539265338002333,308,201,55979,8052,163263
t5,91674527203247953139788609277579854527663936376813232507089900033678910373323,303,201,56026,5248,160229
t5,40340895216168602610398117741569583195376071113168945680693625678234849177156,258,201,64730,19198,149594
t5,9472213772132440937844135324036827610193953304484540759892360933911352772047,312,201,57999,6819,139593
t1,109060800287698069859186250990776436747704124202712747605033671500854727881503,37,201,99926,25997,153909
t1,25783867821743707702734802699098101063893539496906760893691811281561363349838,33,201,77624,56599,207749
t1,87564152933983475815281393852900294396603947896693144634279699510768096474549,185,201,209478,920,159676
t1,39622000092329845474185802054608574338890662284683802797893688888306836411941,30,201,68391,80903,159282
t1,114635234209826268544376161428429031539408821572174765190865753690128148484266,24,201,67337,52041,174093
t1,68371307927644576733766549373725828488866402478467801332891098930550978311746,71,201,102596,36399,109878
t1,29643636165656742893874159739606734393717549982859576420889301542408238001890,151,201,295025,8799,169562
t1,49663678052274278297723168442807688917927608287749446929080394953064658508055,168,201,261468,4702,149388
t1,8086149262454596152449849464334634712667598882277954412842989337159326295493,229,201,208962,7637,206550
t1,23565214741854612956258804745960079532322824407500635160868426375268240227497,157,201,232351,10995,172247
t1,104347785521988947738652910532598282418129889007634775065178612027931283619603,180,201,250787,1836,184962
t1,7569419173434507873659768459421722917783883936922882403167510282695498987711,180,201,138062,11996,215139
t1,7499502891275746171325449406746152995909705964955759178861889315809927464829,145,201,214713,12399,164199
t1,31293990357597117805726432194673155288383622756096144300750877940293119483829,151,201,261419,1199,144911
t1,65080354808146088331134789393288162875968675737902136270710030999908932538207,141,201,291235,5398,144121
t1,78699543921757074719387922783883100896693355827779529794633552878076313893740,175,201,266092,4591,160621
t1,86507137701403472723855121368018709703974512159417251028002865493570628781600,164,201,311603,5392,128925
t1,52828345933222497572370247954822383325840942794379527484499032998521162657590,136,201,309780,39361,162756
t1,52211111086881087356456947140556126635364086931353257177972480262493427884125,211,201,215267,10013,187308
t1,62958517019140533055758885668267902634363123599190821583869097101423217029337,157,201,271542,199,140843
t1,44766266229700699629569559101765370756102422168578878851443171057048961964555,157,201,252203,12397,149368
t1,1429308547368735517830801646267653664013637324312460488478040389781624889225,151,201,299199,4188,117832
t1,32903705836095027979878249524887296369282637944634190267402794672971570945937,179,201,135905,10447,206468
t1,7896416660544837286034199157076979853517596050035293217129697401861842096588,191,201,175888,6591,164949
t1,46636736142429974086461152950129847281941422648094134265754353864210037621049,154,201,236143,9599,132889
t1,90216269847008854074911609817078493855906235650086851091034982399637651884271,153,201,264310,3547,171028
t1,70996098164318359056607851045590621322222562838420416793730966662035126101742,246,201,163536,22995,188929
t1,78906647932687004904415771888857806653153416842475494999223160054919182836054,149,201,302451,20886,158885
t1,89028053590575749747590087962405999785157915560997925544965645467465608617805,172,201,224839,9399,169292
t1,99457242461520265792017309955935720362471107123280525702032393860770135624364,237,201,179995,1159,191228
t1,106190166537160613323663506551857802192711066090140684936337157756064716384976,171,201,156318,6076,194701
t1,21202880469999889523403966233571057526490112245689328615560698931140797174963,161,201,296687,1589,153379
t1,42564214291609009971637445140621519678399587957211764116672940741870816080811,62,201,176483,66790,66790
t1,83021494825386156679235566901373338798638784042989519452204780802304063053526,263,201,158645,2191,196300
t1,99302985741165778004807597728396001960204081396014015154048716789863877012121,223,201,219398,2249,184308
t1,32974260438803602151864735018648939608505940533267277605723346160354104445198,144,201,315674,20191,122890
t1,73236393521659422537664319912432924076939798826832759896010346315254796212709,65,201,141821,63786,165613
t1,98642340244911151126589466594185428308040424018670141356852745151877457065726,126,201,176413,799,137374
t1,36731733305173932334593082281277169992879316818607269670249813534609414120376,167,201,266643,19146,146552
t1,24778232718614276519238776789580017697096990635153135520183436987550055579045,200,201,238264,10632,193428
t1,55840341163912920136933261722475942232547697913410012608849760827704877352667,197,201,216154,17745,184324
t1,80664629386207280980193239661441052711017847047664161599599994241730767315326,174,201,272389,4799,129682
t1,64266998872920773338973886987780744323936529496598114190510636537684925710426,154,201,258300,2058,175561
t1,99308485037174200525540960208737219447558973269131216348624686280333541813662,159,201,275458,6011,157124
t1,57182524165917620518929218657269659383076302460164917663461405612389818491963,162,201,223276,4987,155031
t1,103516452985592883813572362312344159769899872140285550224996186218543378512838,151,201,273718,85,155970
t1,96962764465798665061899166045711351697309973931509804576825797888318714336175,167,201,248459,9927,181324
t1,64479553317965427863484199612937220312026114303202805072609654705380248237196,174,201,256259,5799,137385
t1,102003697923466132751334522649225087231947552069844075477036942975490856612496,167,201,258665,3399,160316
t1,12170014231503787545128949410896242112630540919180751543607414535837824208820,161,201,224845,3992,128295
t1,105768643703448973656610317036758901202850132147041231472990378958600556917913,185,201,238226,14494,168463
t1,46942443532142104002018378878482939439578026271615671398219211014462993837370,226,201,61831,1999,216714
t1,25743467999745388919516985516629691756881881526029467043940883153211131303623,175,201,260542,1199,135275
t1,16860459482478596594475311095468845787379234592119354273586040460272363291536,171,201,254746,5152,177586
t1,103294345478068272696652145029344555571777897939352096088274702358908417719200,165,201,229591,5189,156760
t1,89197839414318851648926308401330131335711221864004451405588210195312379243430,145,201,298944,12188,152434
t1,5161845433116021929939244310978199245838618703333236369921495381423011146764,84,201,127951,43399,150306
t1,44959791736326010438319562658564079468512019589521330104678012621817311532018,150,201,283620,11379,166627
t1,10600894041879048193501591223284316653786073536752748947813406606389583373787,119,201,245782,7706,162896
t1,38436105335830964747567675721116081804137300715697825192007090510908188293003,191,201,241937,2214,141511
t1,27035020408056570401831865850613382546109651413210981570035901230579504249807,146,201,290881,321,155228
t1,62533102379545329755832628214879808297681585296381809813983588218125973669603,65,201,214566,799,116376
t1,75522122066525435907091670029610278724306572933543584896084079727278871695947,230,201,199582,1986,198985
t1,99328168752131002265158885877788063057962026220865842694639910401951430354158,170,201,275542,22194,169358
t1,99859582947259722429694352374596912019622007334761943350523936144603965600379,129,201,271767,11786,157421
t1,12302869099969289016796105855630783090837674165474453934370863918627954306487,157,201,263301,8793,158303
t1,112822688184084443419231010278786401151442757973457430023727472289550078331798,147,201,311133,5395,140657
t1,71865359712392587581895567584667885968729775185713419775604261902416248739836,172,201,248253,12588,137081
t1,87630233031169273405144881432486963902798200051911826006909871014189420613913,243,201,193422,6994,208375
t1,100574725983252978077203062715418973240379390588300803848212613291477906726239,218,201,229631,22599,198564
t1,79912213545378696167071301435155924058517269724851507590858264841441105700077,179,201,258977,4183,195770
t1,15166896200342041896439740658439458620892621954542236480648950856398642634533,157,201,284764,5590,141473
t1,66093752243364824665189179103966479752044657433743592121692889341716581592500,275,201,159298,24399,218014
t1,45917762249261062967982129067999787817591775162426048391651743702032717955066,160,201,121728,12798,210503
t1,15406284148667196698812381477198732352337471511637200298324123872476777597424,209,201,209785,18999,209389
t1,83768777971810211588285361690324072754105724341300291207113239710105779479655,147,201,275642,40778,161862
t1,92477150003560746206288443131023618924905805268744813935472012983298361535806,71,201,166771,8591,171385
t1,29230352739128606828329602369370241259551196975736335548642408340966892598566,160,201,246820,11240,135023
t1,16007610771210654039744960480057932651682384140459041155659128554483985169358,152,201,271953,799,113898
t1,108497334988587319018814616473937156991637579880071924686892224692755788684397,175,201,240791,17599,172200
t1,102442364269045690896563229502238529350654362101591350691104269964521753305551,160,201,258610,15590,166979
t1,16283566434558549046609300661082823083781956524122873397266249068599731806782,230,201,199615,23590,205500
t1,88459118067436379298271137100515455803880081982573996710952218531445464036948,146,201,326949,12279,157971
t1,13860688922488616559048547196824803581331872773353139542975775938022974967008,155,201,258333,10196,152105
